journal_name	category	citations	if_2022	jci	percentageOAGold
MMWR Surveillance Summaries	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)	4118	29.095	15.35	90.63
NATURE NEUROSCIENCE	NEUROSCIENCES - SCIE(Q1)	82161	28.771	5.82	2.21
Lancet Planetary Health	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1)"	4794	28.750	3.99	97.47
Living Reviews in Solar Physics	ASTRONOMY & ASTROPHYSICS - SCIE(Q1)	1957	28.700	2.40	93.33
Nature Climate Change	"ENVIRONMENTAL STUDIES - SSCI(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q1)"	43970	28.660	5.05	1.43
Annual Review of Plant Biology	PLANT SCIENCES - SCIE(Q1)	25803	28.310	2.76	2.22
NATURE CELL BIOLOGY	CELL BIOLOGY - SCIE(Q1)	55078	28.213	3.48	3.09
ANNALS OF THE RHEUMATIC DISEASES	RHEUMATOLOGY - SCIE(Q1)	63959	27.973	4.33	38.71
Annual Review of Psychology	"PSYCHOLOGY - SCIE(Q1); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)"	30374	27.782	3.59	1.22
Science Robotics	ROBOTICS - SCIE(Q1)	6762	27.541	6.16	0.53
Annual Review of Biochemistry	BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)	25139	27.258	2.44	2.13
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1)	134726	27.203	4.71	15.05
Nature Sustainability	"ENVIRONMENTAL STUDIES - SSCI(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI(Q1)"	10711	27.157	3.88	4.69
Dialogues in Human Geography	GEOGRAPHY - SSCI(Q1)	1372	27.000	3.09	29.03
Materials Today	MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)	24067	26.943	3.49	14.40
JAMA Pediatrics	PEDIATRICS - SCIE(Q1)	19187	26.796	5.83	12.97
JAMA Psychiatry	"PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1)"	22150	25.911	4.12	18.37
Nature Machine Intelligence	"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)"	4060	25.898	3.92	3.77
